Iteration                Wall_Time                Samples                  Train_Return             Train_Paths              Test_Return              Test_Paths               Critic_Loss              Critic_Steps             Actor_Loss               Actor_Steps              Adv_Mean                 Adv_Std                  Adv_Weights_Min          Adv_Weights_Mean         Adv_Weights_Max          
0                        0.0003644847869873047    2160                     -193.01262185794616      21                       -686.7046371175558       32                       0.02133107527591395      209                      2.1603531978917463       1045                     -21.58657                21.286592                0.04220897               2.2995062                850.45087                
50                       0.08148787359396617      110630                   -90.62049723129357       945                      -128.80804768402146      32                       0.0058625482595883885    10735                    1.8480548623167439       53571                    0.72225535               10.869171                0.0012244148             47.872932                1356801.6                
100                      0.3069529539346695       240685                   19.269177721455513       177                      78.21176086984845        32                       0.0013263407624215396    23437                    1.7570509145691127       117010                   0.48658386               4.893082                 1.923477e-08             1537.1598                61044430.0               
150                      0.5524206621779336       386582                   116.05710941064024       150                      138.35013144077826       32                       0.00012831470004120784   37674                    1.6990509345669795       188185                   -0.0026273853            1.5218378                1.0926992e-05            16239.358                581770900.0              
200                      0.7844626967774497       532651                   148.87574833141403       150                      170.62771474475855       32                       0.0005783986414658738    51929                    1.1524126593163395       259445                   0.33755532               3.28384                  1.5334029e-13            90472024.0               2943849300000.0          
250                      1.0112672854132123       677897                   154.90970081199748       150                      192.87649785688558       32                       0.0001634528205663271    66104                    1.1462176534502986       330303                   -0.0128478855            1.7769463                1.0891213e-07            34928080000000.0         1.4387996e+18            
300                      1.2279170986678865       819492                   156.10076175084257       150                      177.24550688255073       32                       0.0007277591846908725    79925                    1.0559586144144624       399378                   -0.035761163             3.6466763                7.235273e-18             2750522.5                58244096000.0            
350                      1.4391240353716743       956892                   155.13976745205625       150                      175.24436952311729       32                       0.00036574663664293777   93340                    1.1687335017598124       466407                   -0.22833262              2.5857694                4.7908915e-20            20650.252                597461500.0              
400                      1.6588392006688648       1100422                  163.5017654135626        151                      206.26673958624366       32                       0.00026549752356656175   107350                   1.0944682567192834       536429                   0.3312796                2.2165701                0.0013468288             24438685000000.0         1.1004088e+18            
450                      1.8686032649543551       1241566                  157.53059630176864       152                      184.10067861863575       32                       0.00028710353417672974   121127                   1.1154070713723352       605285                   -0.16204044              2.3696167                3.8677732e-25            1104267200000.0          4.9170327e+16            
500                      2.0803239143557017       1382194                  162.93769260738603       151                      205.8528574775822        32                       0.00025687061580781644   134853                   1.1310079424861348       673891                   0.098366365              2.2447076                6.775794e-08             133277400000000.0        6.143631e+18             
550                      2.2875232522355184       1524702                  162.7341212768769        153                      209.1927186434035        32                       0.0004859276802466591    148764                   1.0490964297141638       743414                   -0.3406067               3.0200396                0.0032204473             313159230.0              8164385000000.0          
600                      2.486556924316618        1661207                  157.49982470941288       156                      207.6756223267073        32                       0.0013124644756317139    162091                   1.0908003576269978       810005                   0.098239236              4.970348                 1.1750327e-13            15921.22                 272967650.0              
650                      2.680234383808242        1794568                  168.39230681116624       157                      234.50948565387836       32                       0.0010409403905690274    175116                   1.0133931516035413       875062                   -0.3509409               4.443582                 3.6913034e-17            66156.42                 1710043600.0             
700                      2.878623598019282        1935823                  166.91677198691687       156                      246.5556470807175        32                       0.0006920050944077684    188903                   1.0337091543568686       943972                   0.019441068              3.6368423                1.4599994e-17            800598.7                 11702399000.0            
750                      3.0646673423051833       2068900                  170.77792174425127       152                      229.789396072732         32                       0.0009887194768948989    201896                   1.0204890580610795       1008891                  -0.011209493             4.3530235                5.9650554e-13            94403.72                 2012757400.0             
800                      3.2510086521837445       2202306                  184.72163892118502       162                      235.6138464719501        32                       0.0012376054774883181    214924                   1.0977779793339735       1073973                  -0.17057933              4.8172684                1.05819115e-14           1142.947                 13993633.0               
850                      3.4332789226373035       2331442                  180.64775692842457       165                      242.33265401119183       32                       0.0014043073147391352    227540                   1.034080564513687        1136966                  0.09568404               5.129018                 1.9877289e-11            2772.272                 50272908.0               
900                      3.608527925080723        2458576                  176.18577526208662       169                      253.47964829186137       32                       0.0016853985322620275    239954                   1.0658645577805035       1198981                  0.0898345                5.6612535                5.9524684e-11            1657.325                 43128096.0               
950                      3.7850440496868556       2585322                  173.71761327985445       165                      252.67331421880465       32                       0.0012417438367730406    252329                   1.060077502900149        1260809                  -0.41218865              4.948923                 2.8680022e-11            268.61203                2893516.5                
1000                     3.9609964809152816       2712082                  177.87252241270437       163                      226.00595948520714       32                       0.001017021456202447     264714                   1.1631563854495028       1322643                  0.02405575               4.5331926                2.918898e-13             7203.964                 235262560.0              
1050                     4.1429291979471845       2841562                  180.2107034393232        166                      252.70212536563346       32                       0.0011479356183126924    277357                   1.0994729728828925       1385800                  -0.10063496              4.789447                 5.402594e-13             10818.244                306110100.0              
1100                     4.324255870050854        2974636                  182.57098362152018       168                      255.02778551960523       32                       0.0013409585192583609    290355                   1.0247799188396423       1450715                  -0.00011676356           5.0594506                8.487016e-13             11846.456                183601520.0              
1150                     4.495693109631539        3099886                  192.52742364642862       177                      265.40642265694754       32                       0.0011625849346252025    302587                   1.1220602302421074       1511806                  -0.020479077             4.870318                 1.1625599e-13            1570.7109                55447540.0               
1200                     4.662564420104027        3224023                  187.82597714732026       172                      256.31618833657444       32                       0.0009809837835591014    314714                   1.1004407432990346       1572357                  0.008763217              4.3371224                6.231786e-10             1985.7612                62180076.0               
1250                     4.840361127985848        3355290                  178.27842157298645       171                      255.18106261228453       32                       0.0013370195867515836    327531                   1.0263172584243967       1636386                  -0.17634021              4.98723                  7.4577775e-09            4336.2256                39899828.0               
1300                     5.012059398227268        3483749                  182.82355461094068       165                      254.26079586866425       32                       0.0015315281253465464    340080                   0.9809803935767567       1699051                  0.15736574               5.4561515                1.44573815e-11           105288.45                4842040000.0             
1350                     5.1789471954107285       3607038                  186.3859394102402        182                      261.2221009422889        32                       0.0020495436912359192    352122                   1.0084776354457634       1759185                  0.3792053                6.1723113                1.2627288e-10            84.7356                  1545805.5                
1400                     5.346819932394557        3734283                  186.0211091277054        180                      272.66176890295196       32                       0.0017619297239515517    364548                   0.9714370713927297       1821248                  -0.20262893              5.9596047                4.771851e-12             136.69965                2267857.2                
1450                     5.513290573093626        3861099                  194.1439131216249        192                      258.60103977856414       32                       0.0011905008615487264    376934                   1.0310167748773464       1883099                  0.44474748               4.8087416                7.3472194e-11            129.31866                2222684.8                
1500                     5.675461666584015        3985010                  203.5919493138188        188                      264.4297606917686        32                       0.0011616562989270576    389036                   0.9941966835315136       1943529                  0.051535428              4.6639624                4.0793174e-11            803.1026                 18722728.0               
1550                     5.837797606653638        4110268                  194.72055680739294       188                      260.4250192520433        32                       0.0015059932313784205    401272                   0.9890959581382844       2004619                  -0.2873962               5.141216                 2.5035793e-10            3413.7297                109470910.0              
1600                     5.998522521919674        4231512                  200.50726295456124       187                      262.49663155992977       32                       0.001014801734518782     413115                   0.9610584284012512       2063752                  -0.2824663               4.3741546                1.9098364e-13            138.87816                1628699.2                
1650                     6.157173180977503        4353095                  206.794023167529         198                      263.66941552945144       32                       0.0012364220267106713    424991                   0.9301565884536137       2123044                  -0.4029213               5.020684                 3.5942524e-13            1066.6038                23634500.0               
1700                     6.316233209504022        4475736                  194.79078355911219       178                      268.6818209524098        32                       0.0010260865092277527    436971                   0.9634930180568321       2182864                  0.14710751               4.4097805                1.4527094e-11            1424.1287                18009972.0               
1750                     6.471987691919009        4598219                  206.13220348587333       198                      242.17514941661497       32                       0.0013387098686018987    448933                   0.9257719580806903       2242595                  -0.17151663              5.0279245                1.8830534e-11            944.28674                22682088.0               
1800                     6.635096191101604        4723777                  195.92210212979643       193                      258.6286239155802        32                       0.0017827669499625623    461194                   0.9663932628201363       2303830                  0.39449677               5.9720106                2.4428848e-10            52.103924                908473.1                 
1850                     6.795538043710921        4846592                  196.51474319096906       184                      238.62958717125815       32                       0.0014351216758169778    473191                   0.9491606326219513       2363733                  -0.24792281              5.3699                   5.510988e-10             98.62825                 2451493.0                
1900                     6.956830242806011        4970699                  195.42484060636707       196                      244.59209784895037       32                       0.0015383043554094103    485313                   0.9272570724691117       2424258                  0.037158214              5.560882                 7.674762e-11             292.9149                 4133398.8                
1950                     7.120274020632108        5096849                  189.67849530841352       194                      239.03736319395594       32                       0.0015209954952506862    497633                   0.8638433973747939       2485780                  0.170874                 5.2493396                2.3357968e-10            145.36206                1514310.4                
2000                     7.281204423639509        5221779                  185.76943316545888       189                      259.08302387853894       32                       0.0010892490478099002    509835                   0.880230775383959        2546709                  0.10402272               4.594034                 1.810781e-10             116.73167                1383517.2                
2050                     7.436549082994461        5341739                  199.86837102514514       185                      256.5448033159123        32                       0.0014274863328801871    521552                   0.8581779106612131       2605217                  -0.43166637              5.199349                 7.384957e-11             2659.3145                85122300.0               
2100                     7.5945022848579615       5466089                  198.53882704795393       209                      255.72819851163388       32                       0.0015646798430748706    533698                   0.8112036086661153       2665855                  -0.18896098              5.402669                 1.021151e-09             4153.114                 119573240.0              
2150                     7.747760329312748        5589144                  213.46881841678206       221                      243.12062369691503       32                       0.0037168739205699856    545718                   0.7103451273842052       2725859                  0.44671154               8.464897                 2.8338256e-08            64.09358                 135447.25                
2200                     7.892558661169476        5707849                  235.29028465561552       298                      247.98452088433825       32                       0.004746065116845644     557304                   0.5556402611456323       2783698                  -0.123765305             9.454977                 7.442105e-07             6.426288                 16929.365                
2250                     8.023783276478449        5821861                  250.84139090377516       442                      264.5025104301965        32                       0.006496698084011884     568423                   0.49906548521572486      2839176                  0.24353188               10.885452                2.1926853e-07            27.618292                700943.25                
2300                     8.146228796773487        5933038                  251.5339330156177        509                      278.55865953149123       32                       0.006045131260538336     579254                   0.4677802760885828       2893239                  -0.45623356              10.69989                 5.658098e-07             7.556295                 65562.945                
2350                     8.268855155375268        6044439                  257.83503976314364       512                      251.87888123495753       32                       0.004688923857932867     590108                   0.49727738793216536      2947406                  -0.22336745              9.340922                 1.2740273e-07            5.5090437                76595.38                 
2400                     8.395606414278348        6155896                  254.09757328444292       472                      269.5081446622361        32                       0.003893539927522158     600973                   0.5114392258604551       3001621                  0.13887443               8.46207                  3.05684e-08              65.03428                 2135269.2                
2450                     8.521737660898102        6267405                  254.23109515971555       482                      270.73698282246426       32                       0.0062064711864177995    611839                   0.48505097317557805      3055855                  -0.6317565               10.74974                 6.645394e-07             158.31664                6014799.5                
2500                     8.643588390880161        6377451                  257.0167533764653        518                      260.8727294896387        32                       0.005104376020885649     622562                   0.4481417240987297       3109362                  0.232648                 9.857012                 9.6280125e-08            3.597753                 11777.803                
2550                     8.765307562351227        6488328                  261.96423831965006       517                      269.015878130653         32                       0.004546497952881583     633370                   0.463111942773995        3163271                  -0.23543413              9.2886715                3.4400262e-08            65.99868                 3067875.2                
2600                     8.889183106091288        6601230                  260.93914056690966       514                      262.632252541788         32                       0.004867954433244159     644368                   0.48066063214065435      3218172                  -0.61826104              9.511111                 3.6360262e-08            5.2745976                33474.72                 
2650                     9.012183091508017        6713685                  259.5265957962316        543                      266.7068927574563        32                       0.0049724684697445305    655324                   0.5187717459215232       3272843                  0.33729175               9.852162                 1.5375626e-08            3.6494691                15969.247                
2700                     9.131244352592363        6822912                  258.5735657383832        528                      265.4563328989392        32                       0.0046435990116812965    665962                   0.4810136153465417       3325943                  0.5783261                9.390758                 9.002805e-08             42.320477                1465807.8                
2750                     9.255433678295876        6935475                  264.8174907485114        509                      253.6090248090984        32                       0.0038650669887954113    676931                   0.5279745267132135       3380681                  0.25435537               8.578834                 2.172151e-09             201.54036                8042438.0                
2800                     9.377215934991836        7046240                  262.5067771893996        534                      276.70704705264984       32                       0.004857253044023426     687722                   0.46326227749095245      3434529                  -0.324549                9.733063                 2.880885e-08             4.8987947                14511.918                
2850                     9.498244790964657        7157919                  262.6337909459518        547                      247.96230665118216       32                       0.0035811569893135216    698601                   0.4987009713062146       3488819                  0.10378396               8.344091                 1.7735649e-09            10.658589                199309.62                
2900                     9.617818440861171        7266939                  262.4979274726868        524                      272.309670805496         32                       0.004410820556621926     709221                   0.5073800274706263       3541818                  -0.49585044              9.213115                 2.818741e-09             477.43353                23206608.0               
2950                     9.734885907239384        7377028                  263.08496597773245       573                      269.62044781333793       32                       0.005233700992991623     719939                   0.46191335002735895      3595322                  0.027877806              9.857557                 1.0553725e-08            5.1355906                42940.434                
3000                     9.85207322339217         7486437                  265.32183524236757       575                      260.5719960747213        32                       0.006028964272085225     730593                   0.4500616178170044       3648488                  -0.41996554              10.5785675               1.7446902e-07            7.0227695                89975.3                  
3050                     9.969190725882848        7594922                  257.4411900930151        554                      269.25567243419124       32                       0.006718820036806132     741160                   0.4750858144336469       3701216                  -0.6235189               11.256772                3.9432294e-07            36.070457                1380829.6                
3100                     10.087035929560662       7703660                  257.4564154789485        537                      255.79381416151332       32                       0.0056122711726597375    751751                   0.47056607227307257      3754071                  0.09128922               10.239551                8.5144876e-08            79.12619                 3114283.0                
3150                     10.207035890486505       7813798                  261.9583295163753        558                      265.6195336243839        32                       0.004557562623047022     762477                   0.5195483256632684       3807604                  -0.27390382              9.31134                  5.0164264e-09            3.5349734                22412.797                
3200                     10.323823281261657       7923478                  258.8616093561851        581                      274.1236362977027        32                       0.004140263630284203     773155                   0.49853323120796617      3860903                  0.19672738               8.981142                 7.4638506e-10            20.869768                341942.97                
3250                     10.443071481850412       8033627                  261.4683190609034        558                      273.54136690540366       32                       0.005218841013361196     783881                   0.4980165329543704       3914438                  0.25786078               9.978238                 7.544382e-08             45.725033                587949.4                 
3300                     10.562266223827997       8145101                  264.2264940136937        570                      269.97756510012124       32                       0.004326202155311327     794736                   0.4981968926783337       3968614                  0.712556                 9.049398                 1.4606e-07               7.935097                 44233.258                
3350                     10.677393208212322       8253160                  260.2286049969449        578                      270.13231410414744       32                       0.0044425071399902625    805257                   0.4760975792976079       4021121                  -0.27965087              9.18644                  1.4991315e-08            2.862778                 9015.099                 
3400                     10.791089171038733       8361623                  259.48173786164597       589                      272.56650648694585       32                       0.005762667059898376     815818                   0.4936235961914063       4073816                  -0.18806629              10.646117                3.903423e-07             17.022736                446588.03                
3450                     10.906099800003899       8470117                  262.48587019049046       581                      279.3805618006404        32                       0.005694320296296979     826379                   0.43639542732125125      4126531                  0.027992673              10.412336                1.3838736e-07            2.8493693                6247.328                 
3500                     11.021285000708367       8579127                  262.21428577601404       586                      270.8001763602949        32                       0.004847932521099319     836991                   0.47495510962701615      4179494                  -0.7562881               9.679601                 1.1173222e-08            6.2634974                42879.336                
3550                     11.137493041422632       8687994                  262.61260752575384       574                      276.0783810318343        32                       0.006172731569952162     847592                   0.46065258537371134      4232395                  0.5874527                10.962017                1.544964e-07             2.9127347                9808.558                 
3600                     11.254992241329617       8797635                  265.85215289715666       557                      258.8313896671546        32                       0.004905331482007665     858270                   0.48232892700670293      4285684                  0.41433454               9.785041                 2.8063774e-08            4.902545                 26300.98                 
3650                     11.372128769556682       8908571                  268.8033031808961        580                      266.7483029659587        32                       0.004675758418752186     869072                   0.47732692885683825      4339591                  -0.2821445               9.462218                 1.919098e-08             6.3029485                69342.64                 
3700                     11.486014209853279       9017258                  269.23346604827117       583                      265.55966094269843       32                       0.0050917362195873695    879651                   0.4687024667278162       4392402                  0.6435933                9.790036                 3.293213e-08             4.2803845                9883.837                 
3750                     11.603660941123962       9127466                  265.5381985024739        568                      277.0601722253001        32                       0.005638103083808824     890388                   0.48159380915621897      4445965                  -0.0065877214            10.402974                1.7834846e-08            2.887331                 20431.914                
3800                     11.720062854025098       9238241                  266.93459251416664       610                      268.41834014836985       32                       0.004378615933306077     901170                   0.4575878954309178       4499781                  0.37612438               9.153736                 6.704675e-08             7.171915                 74806.93                 
3850                     11.820320966641107       9347184                  269.150277303283         603                      272.04125449206424       32                       0.006326475581109236     911775                   0.4592044741608376       4552706                  -1.0258405               11.011751                1.3172941e-07            6.5112348                64437.254                
3900                     11.915597707960341       9457080                  272.8219224918453        603                      262.7520619318937        32                       0.004061041850049349     922473                   0.4655218604396664       4606093                  -0.064252324             8.705323                 1.3606728e-08            394.88837                19235798.0               
3950                     12.009729620416959       9565305                  274.5992857367073        598                      260.48614341377925       32                       0.003582321434486203     933010                   0.4875408034636944       4658668                  0.18125366               8.26746                  8.686226e-09             5.1979775                17590.412                
4000                     12.109558724164962       9676103                  274.19575080468246       606                      267.8541463648266        32                       0.0032699250839125942    943797                   0.43546374983432495      4712497                  0.013370524              7.9539866                2.3470687e-10            19.340721                121966.43                
4050                     12.207675315472814       9786946                  273.05411139965264       574                      281.42425162384455       32                       0.004405594439733596     954591                   0.4637881099551546       4766365                  -0.5601234               9.162783                 3.878117e-09             8.264547                 66881.82                 
4100                     12.302743581268523       9895409                  274.2649566118924        585                      285.1389185077066        32                       0.0027863815497448092    965154                   0.4573405780302242       4819061                  -0.5825537               7.268523                 1.2234412e-08            134.96918                4603770.5                
4150                     12.395189465350574       10003985                 276.73762382424985       565                      268.98014859729517       32                       0.0030906314484810717    975726                   0.4786655845824611       4871823                  0.031320967              7.7125626                4.0345307e-11            20.320597                125688.14                
4200                     12.475043985711205       10113960                 279.638689856581         578                      282.99687196580334       32                       0.0016293311402911233    986434                   0.44094302222842263      4925262                  -0.2031983               5.5439234                5.1509356e-13            368.87552                5193455.0                
4250                     12.552156894273228       10223927                 276.5667526423861        595                      282.0537676673997        32                       0.0019648391401992653    997139                   0.45457265601967867      4978694                  0.20786647               5.9809465                3.1143731e-12            818.4239                 19992758.0               
4300                     12.62770194305314        10331436                 275.7065234753034        594                      286.28646108551686       32                       0.002610662437620617     1007605                  0.4134379535372642       5030925                  0.16759779               7.233433                 1.01976476e-10           37.74301                 492533.6                 
4350                     12.704696272876527       10441250                 277.0357277060864        623                      272.5840679664858        32                       0.003146946158038971     1018298                  0.419153341123754        5084266                  -0.2774278               7.760931                 5.213995e-11             2.6307602                9753.243                 
4400                     12.782142100599078       10551381                 275.2298757590549        612                      284.5256116591041        32                       0.0035261376565244016    1029016                  0.4517474006204044       5137769                  0.09622199               8.214761                 6.448017e-09             7.7711067                96279.7                  
4450                     12.857281033330494       10659100                 277.6674420399458        604                      288.7888409468804        32                       0.0030753831958296287    1039500                  0.4264820883136072       5190097                  -0.38971016              7.664124                 3.3487265e-11            12.143931                68614.43                 
4500                     12.93413520766629        10769115                 273.8973471943743        608                      284.4516778548263        32                       0.003200831236662688     1050209                  0.4368953386352766       5243542                  -0.44522122              7.9775734                2.3124973e-10            24.61629                 764496.9                 
4550                     13.010407735904058       10877910                 273.7442133215384        612                      282.88517233775383       32                       0.0031285430017805775    1060801                  0.4322413150733116       5296394                  0.40764186               7.781926                 5.9433987e-09            9283.927                 459761540.0              
4600                     13.085497157971064       10985926                 271.7126975854199        622                      287.90825877153185       32                       0.004268165332515065     1071314                  0.42815164763866803      5348855                  0.41548544               9.079615                 6.410887e-08             6.031635                 50025.43                 
4650                     13.161989875303375       11094646                 276.29862676056064       595                      280.2800533823148        32                       0.0035033950783277343    1081899                  0.4511414723656721       5401678                  -0.5805224               8.028632                 6.61142e-10              217.47949                9654175.0                
4700                     13.237306414643923       11202577                 272.8654097666721        613                      271.51055917265955       32                       0.003842846374606612     1092406                  0.4480719475836663       5454105                  0.38278705               8.559745                 5.020444e-10             5.8931036                39074.746                
4750                     13.3162359414498         11313265                 272.8527472655056        590                      283.70190150654287       32                       0.003913017551294354     1103178                  0.46485217671380635      5507889                  -0.65432477              8.667195                 5.5331136e-11            4.1624913                13000.065                
4800                     13.392093010412323       11421472                 270.69676284760135       617                      283.4110185504946        32                       0.004333004718873559     1113712                  0.4501012789047196       5560447                  -0.29864815              9.114087                 1.7853625e-09            8.77408                  169331.69                
4850                     13.4673464227385         11530040                 274.40460949164384       628                      286.5451836384925        32                       0.0032798029127575103    1124275                  0.4343172612081047       5613175                  0.09244856               7.904756                 2.7465932e-10            20.127378                429950.38                
4900                     13.542080133226182       11637268                 277.72437112880147       622                      280.8198565124808        32                       0.0029207969514223244    1134712                  0.42760474150757893      5665255                  0.21958344               7.574504                 6.039901e-11             7.3604975                149192.19                
4950                     13.618041506343417       11744708                 274.68037016358875       606                      287.3877604847132        32                       0.0033420411128442266    1145170                  0.4194368264186255       5717443                  0.17069803               8.084067                 1.2719295e-09            16.241142                362491.56                
