Iteration                Wall_Time                Samples                  Train_Return             Train_Paths              Test_Return              Test_Paths               Critic_Loss              Critic_Steps             Actor_Loss               Actor_Steps              Adv_Mean                 Adv_Std                  Adv_Weights_Min          Adv_Weights_Mean         Adv_Weights_Max          
0                        0.0007788089911142985    2087                     -146.2662820460626       24                       -202.77786232363292      32                       0.011799949230534016     202                      2.062778049045139        1008                     -18.302834               18.480232                0.026487684              2.1265006                722.4118                 
50                       0.13147156258424122      114681                   -75.96490384493865       707                      -123.11099265241909      32                       0.004820407276422205     11154                    1.6379030966511545       55664                    0.9764447                9.690099                 0.00011788734            2.547787                 8706.101                 
100                      0.4167851920922597       262314                   21.757683405242037       150                      90.98372151518603        32                       0.00047977233095787493   25562                    1.6209807620520478       127687                   0.12655719               3.1293144                6.965574e-13             62.53871                 1587405.9                
150                      0.6659620960553487       412464                   122.38769690344503       150                      226.17473632515606       32                       5.9221461161004804e-05   40212                    1.600495280503413        200937                   0.19113345               1.0929633                9.610519e-06             11.745298                148908.03                
200                      0.8730225755108727       561559                   154.64823143980308       150                      239.14614322377403       32                       4.273507451644936e-05    54760                    1.435950665262372        273672                   0.19187774               0.90736055               9.228628e-05             770.0151                 20256958.0               
250                      1.0771514381302727       710689                   160.44340158496956       150                      256.88377434335365       32                       3.815941042155536e-05    69311                    1.36879991134279         346424                   0.047654428              0.86227083               3.0488777e-06            3920.5776                169840900.0              
300                      1.2708284458186891       857913                   162.6224524684726        150                      257.6991935016787        32                       0.00033171450675919997   83677                    0.9515206066530142       418246                   0.17952736               2.4506767                1.9025359e-24            10928552.0               445488500000.0           
350                      1.4637247637907664       1006488                  164.37446612981833       150                      271.980924849496         32                       0.0002845458610065968    98174                    0.9370955431420649       490728                   0.012831088              2.2358272                1.0423815e-22            599571500000000.0        2.7540147e+19            
400                      1.6495748652352227       1152999                  166.8993302393364        150                      262.6509194830521        32                       0.00020364401130952933   112471                   0.9003842090177048       562203                   0.18042615               1.9333872                2.2516816e-20            9.463009e+16             4.4390295e+21            
450                      1.8344113010168075       1300242                  172.4944823091963        150                      265.52981353017935       32                       0.0005239588001889173    126841                   0.8209305174114762       634036                   0.32479                  3.1054914                0.020389285              16925539000.0            182466080000000.0        
500                      2.0020775742001002       1433640                  190.65848432937543       163                      269.1225707839775        32                       0.0016894685449423614    139868                   0.8216803556028235       699109                   0.0062292977             5.6823635                3.3218192e-10            3462.0193                29150386.0               
550                      2.1555721906820935       1556867                  216.99934200327056       190                      268.69515663193124       32                       0.001888709871665291     151904                   0.8211116666288978       759208                   -0.07000007              5.8663263                1.3450178e-12            241.40851                2171850.8                
600                      2.304770887957679        1677592                  236.96460245759837       260                      278.5558444181783        32                       0.0023912171710212277    163694                   0.7364136435112641       818056                   0.016757034              6.734068                 3.655664e-08             213.07742                4449256.5                
650                      2.450747373302778        1798782                  248.8043350160256        290                      260.8237229199604        32                       0.0019735036099829324    175527                   0.7067572876374185       877111                   -0.80770785              5.925015                 8.56452e-09              89.74683                 878158.3                 
700                      2.580843211611112        1912182                  271.3276002337025        454                      265.4214731394519        32                       0.002368109736276503     186586                   0.6231496164967845       932286                   -0.32794216              6.4211817                9.4244585e-09            60.41518                 797923.06                
750                      2.701323748495844        2021164                  275.61285106781514       482                      276.9112243876192        32                       0.001611838640250596     197205                   0.6143282978727502       985290                   -0.11091004              5.401786                 3.3855516e-11            12.025186                118020.62                
800                      2.818917645215988        2129355                  277.3123322521766        527                      283.6002416497605        32                       0.0017065484415401111    207745                   0.5623719763951401       1037882                  0.40298575               5.8680305                6.7323735e-10            36.66022                 1467637.2                
850                      2.9405630709727606       2242463                  276.976414456513         534                      279.27797538674395       32                       0.0014148985130199487    218767                   0.5854032058124394       1092875                  -0.081078716             5.267472                 2.7672954e-14            606.8068                 18470892.0               
900                      3.0576016441980998       2351073                  277.4237413490575        528                      279.60883197771517       32                       0.0010806841568814383    229344                   0.557605489095052        1145672                  -0.082268015             4.621637                 4.972423e-10             23.525703                749595.06                
950                      3.1745742664734524       2460070                  275.295952448938         555                      277.5269017385648        32                       0.00329438845316569      239959                   0.5102820308718539       1198650                  -0.14527637              7.9084325                1.0269208e-09            11.701996                216638.22                
1000                     3.2906043932835263       2568854                  276.8961667730249        557                      277.55052885923226       32                       0.002343764759245373     250551                   0.5574552812649094       1251517                  -0.08053219              6.7276287                6.23485e-11              1923.6959                91509120.0               
1050                     3.4077682297759586       2678589                  276.66036558129025       560                      279.2593126447453        32                       0.0018521726696412145    261237                   0.5641164752492878       1304852                  0.3252288                6.066825                 8.102134e-10             89.21406                 1450778.1                
1100                     3.5253857386112215       2789032                  278.3972240387511        570                      280.68462679168937       32                       0.0012735287443949627    271992                   0.548669798509824        1358528                  0.2714596                4.908411                 8.524025e-12             139.3261                 6621115.0                
1150                     3.6391268863280612       2896976                  279.6320563740144        575                      277.20495034997464       32                       0.002366328741064166     282505                   0.510262426999536        1410978                  0.14980125               6.722718                 1.1827764e-10            9.3172865                144397.66                
1200                     3.755442368388176        3004867                  280.78057616539604       537                      283.0403372466006        32                       0.0010610353287463913    293011                   0.5642041465653802       1463421                  -0.20978726              4.484263                 3.3924713e-13            33813.07                 1184508000.0             
1250                     3.8712265582879386       3113881                  279.59054749477554       562                      283.06054647601735       32                       0.0017145178211269093    303627                   0.5296018680412612       1516400                  0.044739123              5.7376046                1.3473712e-10            56.014282                1971126.6                
1300                     3.9847157024012674       3221813                  281.2916767343389        581                      279.0189850042347        32                       0.0019101550645917375    314133                   0.5224614518412044       1568840                  -0.14992997              6.1114073                6.821386e-12             50.36678                 883382.9                 
1350                     4.104131445222431        3332945                  276.78348496606975       550                      281.0858289166995        32                       0.0016509415084169112    324960                   0.5887141789995693       1622860                  0.23947223               5.6106915                1.2834103e-12            81.06924                 1866422.8                
1400                     4.222436011698511        3442980                  277.2692696582045        534                      285.7472715098771        32                       0.001970275024477945     335679                   0.5660770814919404       1676351                  0.14072189               6.147159                 1.1191303e-09            8.360211                 69981.07                 
