Iteration                Wall_Time                Samples                  Train_Return             Train_Paths              Test_Return              Test_Paths               Critic_Loss              Critic_Steps             Actor_Loss               Actor_Steps              Adv_Mean                 Adv_Std                  Adv_Weights_Min          Adv_Weights_Mean         Adv_Weights_Max          
0                        0.0002117389440536499    2110                     -198.38719931111234      22                       -453.2839272969775       32                       0.017155388991038006     204                      2.1462084003523283       1020                     -26.402481               21.020517                0.06332093               2.027593                 504.5323                 
50                       0.039257782167858545     108256                   -93.13929109356572       1042                     -234.7857909344617       32                       0.005635065939819928     10494                    1.8427814089531556       52366                    0.8908172                10.812653                3.0761416e-06            4.5974736                22496.807                
100                      0.13927671737141079      229862                   -35.49541275741757       236                      -37.0059544098601        32                       0.004869640483791104     22369                    1.6551802807700513       111649                   -0.07087972              9.6694                   3.130945e-05             9.513078                 174396.22                
150                      0.26717758648925355      365413                   34.06091289996025        152                      157.98569365426567       32                       0.001553056183121717     35605                    1.6394582911156144       177778                   0.186875                 5.4371543                8.6198304e-07            50558.863                2384439300.0             
200                      0.38758190002706316      514350                   130.91077896535154       150                      269.64957134523513       32                       0.00017830020026542222   50137                    1.620593803327645        250436                   -0.07226027              1.8778151                7.803406e-10             121.855225               2144370.8                
250                      0.49350111093786025      664500                   154.16603882955818       150                      265.16708599895276       32                       4.9223681536754244e-05   64787                    1.5399137425341296       323686                   0.05672224               0.9633928                3.6031182e-05            68.54396                 2750959.5                
300                      0.5929536234007942       807058                   172.4947212496849        150                      270.491659560883         32                       0.0006719751533491787    78699                    1.0759551551997506       393233                   -0.066725954             3.593505                 0.0018810177             10780623.0               414251320000.0           
350                      0.682995593547821        936899                   193.57989186059626       163                      271.70839519442285       32                       0.0010431558402325106    91380                    1.1710785849509386       456574                   0.00890349               4.382872                 4.7090357e-06            40.313076                85921.54                 
400                      0.7758206075429916       1070165                  184.92620028779794       160                      276.3859946103165        32                       0.0006607566473833937    104392                   1.1623076038555888       521583                   -0.29613563              3.784633                 4.7804238e-06            262.06757                1680191.5                
450                      0.8684473803308275       1204894                  182.96147964248044       160                      272.1257950680668        32                       0.0007491840773986445    117549                   1.1343269692766245       587308                   -0.15130977              3.875237                 1.5155892e-05            1548.6332                15084505.0               
500                      0.963347144126892        1340729                  179.66759493380587       163                      272.37144792205845       32                       0.0008073280023974042    130809                   1.121558936866554        653571                   -0.015597816             3.858911                 4.8357088e-06            646.1912                 6759932.0                
550                      1.0510749236080381       1469840                  189.77676217709094       162                      270.6478158455517        32                       0.0008290089040159065    143415                   1.1371778256425233       716553                   -0.2900452               4.037467                 2.4911474e-06            158.08885                954461.7                 
600                      1.141351016892327        1600843                  199.72597697339552       176                      254.447008541979         32                       0.0009699371307407885    156210                   1.178928050663312        780454                   0.30986264               4.6464276                8.7617755e-06            42.240765                84274.695                
650                      1.2290224327643713       1727167                  196.28491240467355       168                      267.7434619973925        32                       0.00109297088287419      168548                   1.1517373869773753       842074                   -0.03356858              4.3802686                5.8038516e-08            2547.7183                82275190.0               
700                      1.3162327100833258       1853442                  201.76105301584434       175                      267.2662396598615        32                       0.000788826044364895     180877                   1.105102648542601        903667                   0.23876128               3.745243                 1.119717e-06             41766.004                1480334300.0             
750                      1.4037717535098393       1981237                  201.14044352534663       176                      266.21688050405805       32                       0.0008602889468860959    193358                   1.1129785906926974       966003                   -0.011864299             4.006589                 7.32769e-09              24231.422                842713300.0              
800                      1.493621175620291        2111582                  190.0430545368514        163                      268.46509880472314       32                       0.000556818071769492     206084                   1.085892065758128        1029585                  0.12793525               3.1055398                2.115276e-08             7465380.5                371210000000.0           
850                      1.5812137131558524       2240497                  201.41480642393677       178                      260.04775214352304       32                       0.0009043441615372061    218674                   1.0721896879019528       1092464                  -0.16971445              4.1168857                4.5912927e-07            81575.0                  2899952000.0             
900                      1.666324596007665        2365056                  193.24977915192284       178                      267.2128936180186        32                       0.0009811267620179712    230841                   1.0445832552975172       1153219                  -0.47633314              4.1889377                2.5611318e-14            498.00693                8564764.0                
950                      1.7479368044932684       2488214                  215.2382671775833        194                      273.3864881310031        32                       0.0006277733935719043    242873                   1.0475126225897606       1213283                  -0.10377084              3.3301995                3.5338317e-07            6593.6035                165033890.0              
